"folioviv","","conex_inte","ing_cor","energia","comunica","menores"
"100225005","","1","87885.68","1791.29","2690.32","0"
"100239201","","2","42735.17","2052.43","699","0"
"100239202","","1","99917.23","2491.93","2100","0"
"100239204","","2","27157.18","1125","1972.25","0"
"100239206","","1","50477.61","990","1457.32","0"
"100264801","","1","15816.38","720","1350","0"
"100264802","","1","109711.38","1153.5","1500","0"
"100264803","","2","41072.58","870","300","1"
"100264804","","2","24383.58","2205","1200","1"
"100264805","","2","10612.7","2205","750","0"
"100264806","","2","72714.84","2835","600","0"
"100266501","","1","52304.91","240","1770.96","0"
"100266502","","1","79199.69","2341.93","2328.29","0"
"100266504","","1","22930.42","2158.06","1712.9","0"
"100266505","","2","20672.46","225","290.32","0"
"100272301","","1","49876.61","1122.58","1800","1"
"100272303","","2","45489.09","2547.58","600","0"
"100272305","","1","36574.33","4993.54","1167","0"
"100272306","","1","55624.34","2267.46","1167","0"
"100295601","","2","64833.71","427.5","2595","0"
"100295602","","1","208819.66","225","2700","0"
"100295603","","1","40002.75","2286","2760","2"
"100295604","","2","86638.5","373.5","2010","0"
"100295606","","1","109269.9","375","4560","0"
"100296701","","1","79327.84","1350","2350","0"
"100296702","","1","18000","2235","3246","0"
"100296704","","2","93654.05","438","1620","0"
"100296705","","1","31138.51","433.5","1617","0"
"100296706","","1","89508.14","2325","9300","0"
"100298201","","1","332449.28","4008.87","2810.32","0"
"100298202","","1","102985.6","75","3000","0"
"100298203","","2","37835.96","270","290.32","0"
"100298204","","1","61982.09","1084.5","2130.96","0"
"100298205","","1","191440.64","420","2394","0"
"100298206","","1","97811.42","2071.93","129.66","0"
"100309902","","1","28799.98","217.5","2100","0"
"100309904","","1","69435.28","2041.93","1400.32","0"
"100309905","","1","204193.3","600","4103.22","0"
"100310804","","1","77507.84","1650","4930","0"
"100310805","","2","27499.77","1275","600","0"
"100310806","","1","121166.92","1800","3207","0"
"100317502","","1","178538.89","525","3470.32","0"
"100317503","","1","278951.94","405","2497.64","0"
"100317504","","1","23568.08","924.58","919.35","0"
"100317505","","2","21906.97","1779.67","1800","0"
"100317506","","1","135214.71","2011.93","1530","0"
"100318301","","1","68430.83","1925.8","1930.64","0"
"100318302","","1","31466.07","958.64","1398.38","0"
"100318303","","1","64044.02","330","4526.12","0"
"100318305","","1","32652.57","570","3612.58","0"
"100318306","","1","53695.54","3578.22","2511.29","0"
"100320401","","2","20006.99","750","145.16","0"
"100320402","","2","33426.06","150","435.48","0"
"100320406","","1","128392.45","6406.45","7490.32","0"
"100322001","","1","96860.96","889.5","2870.32","0"
"100322002","","1","57965.08","2032.25","2170.64","1"
"100322004","","1","77282.53","2051.61","2400","0"
"100322005","","1","63347.11","2782.25","1457.32","0"
"100322006","","2","19854.24","195","290.32","0"
"100327401","","1","91182.42","334.35","580.64","1"
"100327402","","2","15328.49","130.5","750","0"
"100327403","","2","61802.5","525","1725","0"
"100327405","","1","150139.02","980.56","1457.32","1"
"100327406","","2","57599.05","1230","725.8","4"
"100329601","","1","91229.46","345","1890","1"
"100329602","","1","15803.76","2242.5","1560","0"
"100329603","","2","23364.32","2160","300","0"
"100329604","","1","30597.33","330","2040","0"
"100329605","","1","146606.54","2166","5400","0"
"100329606","","1","24408.53","1800","1500","0"
"100331701","","2","17505.65","540","300","0"
"100331704","","1","35625.39","1275","1650","0"
"100331706","","1","57650.69","1995","1950","0"
"100344201","","2","22052.42","229.5","290.32","0"
"100344202","","2","20324.32","1473.38","1460.32","0"
"100344203","","1","66158.83","837","1740","0"
"100344204","","1","48392.03","57.5","1760.32","2"
"100344205","","2","15813.4","336","600","0"
"100344206","","1","93755.24","1930.64","1850.32","0"
"100347501","","1","58240.57","331.5","1940.32","2"
"100347502","","1","91926.48","2408.61","2064.96","3"
"100347503","","2","46375.14","1930.64","899.99","0"
"100347504","","1","55474.93","795","1167","0"
"100347505","","1","85960.72","1789.51","1410","0"
"100347506","","1","114761.8","2804.51","3267","0"
"100360303","","1","48602.28","1545.96","2340","0"
"100360304","","1","40487.58","3150","1480.64","0"
"100360305","","1","72794.72","5133.86","2250","1"
"100363001","","2","47903.21","150","435.48","0"
"100363003","","2","29890.86","180","290.32","0"
"100363004","","1","31388.62","292.5","1170","0"
"100363005","","1","69719.64","1125","2135.8","0"
"100363006","","1","121846.42","1451.61","2932.25","2"
"100374901","","1","439077.65","1650","7530","0"
"100374902","","1","102591.15","345","2811.29","1"
"100374905","","1","174357.57","1247.08","3125.32","0"
"100387901","","2","31279.09","2491.93","1161.29","0"
"100387902","","1","79233.56","2535","2905.64","2"
"100391801","","2","28787.18","2055","600","0"
"100391802","","2","21677.95","1275","300","2"
"100391805","","1","103108.99","1252.5","1920","0"
"100398601","","2","85448.15","660","600","2"
"100398602","","1","84844.18","750","1740","2"
"100398603","","2","110508.7","4596","6135","2"
"100398604","","2","43832.63","429","600","2"
"100398605","","2","78756.96","678","180","0"
"100398606","","1","58586.48","450","1500","0"
"100403701","","2","27091.19","1638","1140","0"
"100403705","","2","54089.42","2025","750","0"
"100403706","","2","63344.17","1348.5","780","2"
"100407801","","1","86563.69","3525","4800","0"
"100407803","","1","59262.29","1050","4200","1"
"100407804","","1","95950.79","2550","3060","0"
"100407805","","1","158356.87","1575","3240","2"
"100407806","","1","61721.29","525","2100","0"
